1786879204	37808	82304
1786879205	41392	82304
1786879206	43312	82304
1786879208	44608	82304
1786879209	45568	82304
1786879210	48176	82304
1786879211	50512	82304
1786879212	51952	82304
1786879213	52432	82304
1786879214	54864	82304
1786879215	56528	82304
1786879216	57424	82304
1786879218	60256	82304
1786879219	60864	82304
1786879220	62736	82304
1786879221	64032	82304
1786879222	64928	82304
1786879223	66560	82304
1786879224	126912	82352
1786879226	127632	82352
1786879227	144864	82352
1786879228	145008	82352
1786879229	145136	82352
1786879230	145248	82352
1786879231	149952	82352
1786879233	150032	82352
1786879234	162736	82352
1786879235	162752	82352
1786879236	162784	82352
1786879237	162784	82352
1786879238	162800	82352
1786879240	162832	82352
1786879241	162848	82352
1786879242	162880	82352
1786879243	162912	82352
1786879244	162928	82352
1786879245	162928	82352
1786879247	162928	82352
1786879248	162944	82352
1786879249	162960	82352
1786879250	162960	82352
1786879251	162992	82352
1786879253	163008	82352
1786879254	162048	71392
1786879255	161776	70816
1786879256	161792	70816
1786879257	161808	70816
1786879259	161824	70816
1786879260	161840	70816
1786879261	161840	70816
1786879262	161856	70816
1786879263	161904	70816
1786879264	161920	62608
1786879266	161920	62608
1786879267	161920	61920
1786879268	161936	59584
1786879269	161936	59296
1786879270	161936	57600
1786879272	161952	48752
1786879273	161952	47312
1786879274	161968	47056
1786879275	161968	47008
1786879276	161344	47008
