tag e2small-n500
sessions 500
binary forumbench-gcdefault
gc_banner none
env_gogc 400
env_gomemlimit 996MiB
elements 94
idle_rss_kb 41856
peak_rss_kb 996640
window_peak_rss_kb 996640
window_mean_rss_kb 973864
pg_peak_rss_kb 82304
tput 2454.385538540759
established 500
error_rate 0
patch_rate 1
app_cpu_delta_s 238.74
wall_s 73
generator_rc 0
aborted no
load1 12.94
