1786850914.600633543	30496	4
1786850914.861371413	30496	4
1786850915.122196271	30496	4
1786850915.383515323	30496	4
1786850915.644112744	30276	6
1786850915.905352960	30740	10
1786850916.166151345	30804	15
1786850916.426502636	32992	19
1786850916.688134428	33156	24
1786850916.950336196	33156	30
1786850917.211662197	35204	34
1786850917.472161154	37472	37
1786850917.733065702	37472	42
1786850917.993326385	37472	46
1786850918.254571355	37636	51
1786850918.514936120	39204	57
1786850918.775409070	39984	84
1786850919.035231076	40132	110
1786850919.296075065	40132	136
1786850919.556555571	40344	163
1786850919.816740612	40496	188
1786850920.077349880	40496	214
1786850920.337708831	40496	241
1786850920.597617975	40668	267
1786850920.858620445	40668	293
1786850921.119571854	40668	319
1786850921.380757799	40832	346
1786850921.641500059	40832	371
1786850921.902067980	40832	398
1786850922.162741749	42880	424
1786850922.423002164	42944	450
1786850922.683713152	42944	477
1786850922.945056426	42944	503
1786850923.205484762	42920	528
1786850923.466709196	42920	554
1786850923.727970486	42960	581
1786850923.989487086	42960	607
1786850924.250944034	42960	633
1786850924.512043753	42960	659
1786850924.772683999	43268	686
1786850925.033610392	43268	712
1786850925.293750351	43268	738
1786850925.554380737	43268	764
1786850925.815070597	43268	790
1786850926.075738388	43268	816
1786850926.335798630	43268	842
1786850926.596543293	43268	868
1786850926.857473570	45316	895
1786850927.117725754	45316	921
1786850927.378839476	45316	947
1786850927.639437779	45316	973
1786850927.900160970	45144	999
1786850928.160788355	45144	1025
1786850928.421243317	45144	1052
1786850928.681863459	45144	1078
1786850928.941885889	45144	1104
1786850929.201952449	45144	1130
1786850929.462737918	45144	1156
1786850929.724119705	45144	1182
1786850929.985609694	45144	1209
1786850930.245972940	45144	1235
1786850930.506406895	45144	1260
1786850930.766781310	45388	1287
1786850931.027216117	45104	1313
1786850931.288391610	45312	1340
1786850931.548622957	45312	1366
1786850931.808980271	45312	1392
1786850932.069480396	45312	1418
1786850932.329784224	45312	1444
1786850932.590692008	45688	1470
1786850932.851468823	47468	1496
1786850933.111558494	47468	1523
1786850933.373054517	47688	1548
1786850933.633912199	47688	1574
1786850933.894995980	47688	1601
1786850934.156417597	47688	1627
1786850934.417868438	47944	1654
1786850934.678503905	49992	1680
1786850934.939551355	49884	1705
1786850935.200123565	49884	1732
1786850935.460670696	49884	1758
1786850935.721089044	49884	1784
1786850935.981475542	49580	1810
1786850936.242179738	49580	1836
1786850936.502777307	49580	1862
1786850936.763600147	49604	1888
1786850937.023505178	49604	1915
1786850937.285105812	50028	1941
1786850937.545184695	49628	1967
1786850937.805772389	49628	1994
1786850938.065573732	50112	2020
1786850938.325400104	48164	2046
1786850938.585361338	49880	2072
1786850938.845896809	50112	2098
1786850939.106596587	50112	2124
1786850939.366515459	51980	2150
1786850939.627196644	51980	2177
1786850939.887487972	52232	2202
1786850940.147446195	51224	2229
1786850940.407522216	51224	2255
1786850940.668401038	51396	2281
1786850940.929593706	51396	2307
1786850941.190401610	51820	2333
1786850941.450905727	52060	2359
1786850941.711065929	51632	2385
1786850941.971297046	52084	2411
1786850942.232173084	52084	2438
1786850942.492276491	52084	2464
1786850942.752208289	52084	2490
1786850943.012334416	52084	2516
1786850943.272316331	52084	2541
1786850943.532527935	52084	2568
1786850943.793110528	52084	2594
1786850944.054304273	52084	2620
1786850944.315277368	52084	2647
1786850944.575852724	52084	2673
1786850944.836165338	52084	2699
1786850945.097560563	52084	2725
1786850945.358386673	52084	2751
1786850945.619113414	52084	2778
1786850945.880077030	52084	2804
1786850946.140742984	52084	2830
1786850946.401065892	54384	2856
1786850946.661674665	54384	2882
1786850946.922523196	54384	2908
1786850947.183005686	54384	2934
1786850947.443339308	54384	2960
1786850947.705598493	54400	2987
1786850947.966855886	54400	3013
1786850948.227536571	54400	3039
1786850948.487816706	54400	3065
1786850948.748294086	54400	3092
1786850949.008393746	54400	3117
1786850949.269106981	54400	3143
1786850949.529921334	54400	3170
1786850949.790086435	54400	3196
1786850950.050548807	54400	3222
1786850950.311634343	54400	3248
1786850950.571826354	54400	3275
1786850950.832391761	54400	3301
1786850951.094794728	54400	3327
1786850951.355012677	54400	3353
1786850951.614968272	54400	3379
1786850951.875394022	54400	3405
1786850952.136665666	54400	3431
1786850952.397194936	54400	3457
1786850952.658145998	54400	3484
1786850952.919306672	54400	3510
1786850953.179668895	54400	3536
1786850953.440088450	54400	3562
1786850953.700865669	54400	3588
1786850953.961461540	54400	3614
1786850954.222227742	54400	3640
1786850954.482576578	54400	3667
1786850954.743191659	56448	3693
1786850955.003843139	56448	3719
1786850955.263772452	56448	3745
1786850955.523625025	56448	3771
1786850955.784006055	56448	3797
1786850956.044658630	56448	3824
1786850956.305053928	56448	3850
1786850956.565935616	56448	3875
1786850956.826561608	56448	3902
1786850957.087670758	55700	3928
1786850957.348230027	55700	3955
1786850957.608209663	55700	3980
1786850957.868035972	55700	4007
1786850958.128996028	55700	4033
1786850958.389836271	55700	4059
1786850958.650755220	55700	4085
1786850958.911600064	55700	4111
1786850959.171601403	55700	4137
1786850959.431576199	55700	4163
1786850959.691941280	55700	4189
1786850959.952013477	55700	4216
1786850960.212113773	56404	4241
1786850960.471867665	56404	4267
1786850960.732084916	56404	4293
1786850960.992248031	56404	4319
1786850961.252101086	56404	4346
1786850961.512755230	56404	4372
1786850961.773259883	56404	4398
1786850962.033500294	56404	4424
1786850962.294205356	56404	4451
1786850962.555242129	56048	4476
1786850962.815804642	56048	4502
1786850963.075808664	56048	4529
1786850963.335858029	56048	4555
1786850963.596055587	56048	4581
1786850963.856568386	56048	4608
1786850964.117252462	56048	4633
1786850964.378055541	56048	4660
1786850964.637753004	56048	4686
1786850964.897428559	56048	4711
1786850965.157447187	56048	4738
1786850965.417214904	56048	4764
1786850965.677582871	56048	4789
1786850965.937871793	56048	4815
1786850966.197622423	56048	4842
1786850966.457790174	56048	4868
