1786886210	41872	82288
1786886211	62816	82288
1786886212	71920	82288
1786886214	83136	82288
1786886215	94336	82288
1786886216	100352	82288
1786886217	109264	82288
1786886218	119904	82288
1786886219	129136	82288
1786886220	141648	82288
1786886221	154064	82288
1786886222	155136	82288
1786886223	165344	82288
1786886224	182768	82288
1786886225	182864	82288
1786886226	200336	82288
1786886227	200544	82288
1786886228	200640	82288
1786886229	201856	82288
1786886230	208816	82320
1786886232	217520	82320
1786886233	217776	82320
1786886234	217824	82320
1786886235	217984	82320
1786886236	218112	82320
1786886237	218160	82320
1786886238	218176	82320
1786886239	218240	82320
1786886240	218272	82320
1786886241	218352	82320
1786886242	218384	82320
1786886243	218400	82320
1786886244	218400	82320
1786886246	218464	82320
1786886247	218464	82320
1786886248	218464	82320
1786886249	218560	82320
1786886250	218576	82320
1786886251	218576	82320
1786886252	218576	82320
1786886253	218608	82320
1786886254	218608	82320
1786886255	218624	82320
1786886256	218640	82320
1786886257	218704	82320
1786886258	223328	82320
1786886260	223328	82320
1786886261	223344	82320
1786886262	223360	82320
1786886263	223408	82320
1786886264	223472	82320
1786886265	223488	82320
1786886266	223536	82320
1786886267	223536	82320
1786886268	223536	82320
1786886269	223568	82320
1786886270	223584	82320
1786886271	223600	82320
1786886272	223664	82320
1786886274	223680	82320
1786886275	223696	82320
1786886276	223696	82320
1786886277	223696	82320
1786886278	223712	82320
1786886279	223728	82320
1786886280	223744	82320
1786886281	223744	82320
1786886282	223744	82320
1786886283	223776	82320
