cfg	level	repeat	idle_app_kb	idle_pg_rss_kb	idle_pg_pss_kb	idle_app_pss_kb	idle_pg_nproc	idle_mem_avail_kb	load_app_kb	load_pg_rss_kb	delta_app_kb	delta_pg_kb	pg_backends_max	established	kb_per_session	tput	p50	p95	p99	err	valid	gen_cpu_pct	store
C	50	1	26280	92292	33091	29048	7	1605540	92648	173752	66368	81460	7	50	1327	39.852799869385905	208.918	424.143	669.17	0	true	0.29196787744440567	session_store:_postgres
B	50	1	23676	77556	30102	25900	6	1603972	86752	79544	63076	1988	1	50	1262	24.808940476231427	203.262	4881.887	6624.699	0	true	0.20568112832722757	session_store:_memory
A	50	1	23220	0	0	24208	0	1641420	102276	0	79056	0	0	50	1581	21.375663827274757	229.535	5014.479	7419.466	0	true	0.18806440067739852	session_store:_memory
C	50	2	24472	91028	33130	26920	7	1607800	108720	170500	84248	79472	7	50	1685	16.750145068613865	498.733	6322.636	7981.793	0	true	0.1534446169614788	session_store:_postgres
