PHASE\tts\tapp_rss_kb\tpg_rss_sum_kb\tpg_nproc\tmem_avail_kb\tmem_free_kb\tshmem_kb
B_embed_running	1786806345	31656	78928	6	1579164	857916	21884
B_embed_running	1786806350	31656	78928	6	1579328	857916	21884
B_embed_running	1786806355	31656	78928	6	1579352	857916	21884
B_embed_running	1786806360	31656	78928	6	1579524	857916	21884
B_embed_running	1786806365	31656	78928	6	1579516	857916	21884
B_embed_running	1786806370	31656	78928	6	1579524	857916	21884
B_embed_running	1786806375	31656	78928	6	1579524	857916	21884
B_embed_running	1786806380	31656	78928	6	1579536	857916	21884
B_embed_running	1786806385	31656	78928	6	1579544	857916	21884
B_embed_running	1786806390	31656	78928	6	1579540	857916	21884
B_embed_running	1786806395	31656	78928	6	1579280	857664	21884
B_embed_running	1786806400	31656	78928	6	1579304	857664	21884
B_embed_running	1786806405	31656	78928	6	1579052	857412	21884
B_embed_running	1786806410	31656	78928	6	1579052	857412	21884
B_embed_running	1786806415	31656	78928	6	1579052	857412	21884
B_embed_running	1786806420	31656	78928	6	1579056	857412	21884
B_embed_running	1786806426	31656	78928	6	1579056	857412	21884
B_embed_running	1786806431	31656	78928	6	1579068	857412	21884
B_embed_running	1786806436	31656	78928	6	1578820	857160	21884
B_embed_running	1786806441	31656	78928	6	1578508	856656	21892
B_embed_running	1786806446	31656	78928	6	1578280	856404	21884
B_embed_running	1786806451	28408	80160	6	1578328	856404	21884
B_embed_running	1786806456	28408	83460	6	1578092	856152	21884
B_embed_running	1786806461	31672	83460	6	1578104	856152	21884
OFF_nothing	1786806486	0	0	0	1599712	877572	468
OFF_nothing	1786806491	0	0	0	1599716	877572	468
OFF_nothing	1786806496	0	0	0	1599716	877572	468
OFF_nothing	1786806502	0	0	0	1599716	877572	468
OFF_nothing	1786806507	0	0	0	1599716	877572	468
OFF_nothing	1786806512	0	0	0	1599724	877572	468
OFF_nothing	1786806517	0	0	0	1599724	877572	468
OFF_nothing	1786806522	0	0	0	1599732	877572	468
OFF_nothing	1786806527	0	0	0	1599732	877572	468
OFF_nothing	1786806532	0	0	0	1599732	877572	468
OFF_nothing	1786806537	0	0	0	1599732	877572	468
OFF_nothing	1786806542	0	0	0	1599732	877572	468
OFF_nothing	1786806547	0	0	0	1599732	877572	468
OFF_nothing	1786806552	0	0	0	1599732	877572	468
OFF_nothing	1786806557	0	0	0	1599732	877572	468
OFF_nothing	1786806562	0	0	0	1599732	877572	468
OFF_nothing	1786806567	0	0	0	1599732	877572	468
OFF_nothing	1786806572	0	0	0	1599732	877572	468
OFF_nothing	1786806577	0	0	0	1599732	877572	468
OFF_nothing	1786806582	0	0	0	1626532	904360	468
OFF_nothing	1786806587	0	0	0	1626536	904360	468
OFF_nothing	1786806592	0	0	0	1626544	904360	468
OFF_nothing	1786806597	0	0	0	1626544	904360	468
OFF_nothing	1786806602	0	0	0	1626296	904108	468
A_control_nopg	1786806633	21684	0	0	1616336	893804	472
A_control_nopg	1786806638	21684	0	0	1616336	893804	472
A_control_nopg	1786806643	21684	0	0	1616336	893804	472
A_control_nopg	1786806648	21684	0	0	1616336	893804	472
A_control_nopg	1786806653	21684	0	0	1616344	893804	472
A_control_nopg	1786806658	21684	0	0	1616344	893804	472
A_control_nopg	1786806663	21684	0	0	1616100	893552	472
A_control_nopg	1786806668	21684	0	0	1616100	893552	472
A_control_nopg	1786806673	21684	0	0	1616100	893552	472
A_control_nopg	1786806678	21684	0	0	1616100	893552	472
A_control_nopg	1786806683	21684	0	0	1616100	893552	472
A_control_nopg	1786806688	21684	0	0	1616108	893552	472
A_control_nopg	1786806693	21684	0	0	1616108	893552	472
A_control_nopg	1786806698	21684	0	0	1612012	889456	472
A_control_nopg	1786806703	21684	0	0	1612012	889456	472
A_control_nopg	1786806708	21684	0	0	1611760	889204	472
A_control_nopg	1786806713	21684	0	0	1611760	889204	472
A_control_nopg	1786806718	21684	0	0	1611760	889204	472
A_control_nopg	1786806723	21684	0	0	1611760	889204	472
A_control_nopg	1786806728	21684	0	0	1611508	888952	472
A_control_nopg	1786806733	21684	0	0	1611260	888704	472
A_control_nopg	1786806739	21684	0	0	1611008	888452	472
A_control_nopg	1786806744	21684	0	0	1611016	888200	472
A_control_nopg	1786806749	21684	0	0	1610764	888200	472
