level	repeat	idle_rss_kb	load_rss_kb	delta_kb	established	kb_per_session	conn_app_max	throughput	p50_ms	p95_ms	p99_ms	err_rate	valid
1	1	22328	33132	10804	1	10804.0	2	0.8755308188827013	136.841	148.669	154.796	0	true
1	2	22728	34076	11348	1	11348.0	2	0.8617025681110149	136.992	143.908	145.068	0	true
25	1	22396	62092	39696	25	1587.8	50	21.535121271457196	141.707	184.062	213.325	0	true
25	2	22460	57100	34640	25	1385.6	50	21.555177472105118	141.918	184.656	218.211	0	true
50	1	22068	85024	62956	50	1259.1	100	41.643599264763026	171.172	280.762	350.839	0	true
50	2	22920	99292	76372	50	1527.4	100	28.94757087188292	187.626	3773.478	5291.513	0	true
