level	repeat	idle_rss_kb	load_rss_kb	delta_kb	established	kb_per_session	conn_app_max	throughput	p50_ms	p95_ms	p99_ms	err_rate	valid
1	1	21748	34752	13004	1	13004.0	2	0.8712153167058008	136.85	146.964	155.523	0	true
1	2	20796	34048	13252	1	13252.0	2	0.8882297070559345	136.208	142.44	144.012	0	true
25	1	21576	58592	37016	25	1480.6	50	21.514094698924836	140.525	181.604	214.438	0	true
25	2	20300	66840	46540	25	1861.6	50	14.28714662983698	145.758	3992.94	5580.219	0	true
50	1	20872	96268	75396	50	1507.9	100	11.66352957625112	221.032	11597.051	13593.473	0	true
50	2	19236	86796	67560	50	1351.2	100	11.92710894151538	206.017	11789.633	15215.607	0	true
