# cross-gate unreddenability sweep — the measurement behind every
# SOURCE_SIDE_FALSIFIERS row (see `FalsifierKind`).
#
# Every registered patch × every source-side leaf. The leaves run in one
# batch and any leaf the batch left without a terminal `go test -json`
# event is re-run ALONE, so a patch that kills the binary cannot be
# recorded as reddening its neighbours. `no-go-hunks` means the patch
# touches nothing under runtime-go/ and so cannot change what a Go
# fixture does; `patch-absent` means the mutation is registered but its
# patch has not been authored yet.
#
# Re-take with:
#   cargo test -p xtask --bin xtask -- --ignored --exact \
#     bluedb_gates::gates_g2_13::tests::record_cross_gate_unreddenable_sweep
#
# <mutation-id> <leaf> <verdict>
G0.8/a-mutation-stops-touching-the-source-it-proved TestSealContractRefusesWrites no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.8/a-mutation-stops-touching-the-source-it-proved TestWrongComparerNameRefusesOpen no-go-hunks
G0.C/noop TestAuditH3ReaderGetSurfacesIoErrors no-go-hunks
G0.C/noop TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary no-go-hunks
G0.C/noop TestAuditN3BackgroundFatalDoesNotKillTheProcess no-go-hunks
G0.C/noop TestAuditN3SynchronousWalFaultStillErrorsTheAck no-go-hunks
G0.C/noop TestCrashDurablePrefixNoReorder no-go-hunks
G0.C/noop TestInjectedFaultsReopenConsistent no-go-hunks
G0.C/noop TestSealContractRefusesWrites no-go-hunks
G0.C/noop TestSecondOpenFailsSingleProcessLock no-go-hunks
G0.C/noop TestWrongComparerNameRefusesOpen no-go-hunks
G1.1/remove-ceiling TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.1/remove-ceiling TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.1/remove-ceiling TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.1/remove-ceiling TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.1/remove-ceiling TestCrashDurablePrefixNoReorder patch-absent
G1.1/remove-ceiling TestInjectedFaultsReopenConsistent patch-absent
G1.1/remove-ceiling TestSealContractRefusesWrites patch-absent
G1.1/remove-ceiling TestSecondOpenFailsSingleProcessLock patch-absent
G1.1/remove-ceiling TestWrongComparerNameRefusesOpen patch-absent
G1.1d/unpublish-perconn-floor TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.1d/unpublish-perconn-floor TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.1d/unpublish-perconn-floor TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.1d/unpublish-perconn-floor TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.1d/unpublish-perconn-floor TestCrashDurablePrefixNoReorder patch-absent
G1.1d/unpublish-perconn-floor TestInjectedFaultsReopenConsistent patch-absent
G1.1d/unpublish-perconn-floor TestSealContractRefusesWrites patch-absent
G1.1d/unpublish-perconn-floor TestSecondOpenFailsSingleProcessLock patch-absent
G1.1d/unpublish-perconn-floor TestWrongComparerNameRefusesOpen patch-absent
G1.2/drop-field-on-deflate TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.2/drop-field-on-deflate TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.2/drop-field-on-deflate TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.2/drop-field-on-deflate TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.2/drop-field-on-deflate TestCrashDurablePrefixNoReorder patch-absent
G1.2/drop-field-on-deflate TestInjectedFaultsReopenConsistent patch-absent
G1.2/drop-field-on-deflate TestSealContractRefusesWrites patch-absent
G1.2/drop-field-on-deflate TestSecondOpenFailsSingleProcessLock patch-absent
G1.2/drop-field-on-deflate TestWrongComparerNameRefusesOpen patch-absent
G1.3/ack-before-persist TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.3/ack-before-persist TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.3/ack-before-persist TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.3/ack-before-persist TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.3/ack-before-persist TestCrashDurablePrefixNoReorder patch-absent
G1.3/ack-before-persist TestInjectedFaultsReopenConsistent patch-absent
G1.3/ack-before-persist TestSealContractRefusesWrites patch-absent
G1.3/ack-before-persist TestSecondOpenFailsSingleProcessLock patch-absent
G1.3/ack-before-persist TestWrongComparerNameRefusesOpen patch-absent
G1.4/admit-on-get TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.4/admit-on-get TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.4/admit-on-get TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.4/admit-on-get TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.4/admit-on-get TestCrashDurablePrefixNoReorder patch-absent
G1.4/admit-on-get TestInjectedFaultsReopenConsistent patch-absent
G1.4/admit-on-get TestSealContractRefusesWrites patch-absent
G1.4/admit-on-get TestSecondOpenFailsSingleProcessLock patch-absent
