1786876895	42736	82240
1786876896	85264	82240
1786876897	97376	82240
1786876899	112528	82240
1786876900	131728	82240
1786876901	141104	82240
1786876902	153968	82240
1786876903	187248	82240
1786876904	188256	82240
1786876905	205232	82240
1786876906	226000	82240
1786876907	226192	82240
1786876908	265488	82240
1786876909	267776	82240
1786876910	267952	82240
1786876911	290784	82240
1786876912	320016	82240
1786876913	320192	82240
1786876915	320368	82240
1786876916	621184	82256
1786876917	1011984	82256
1786876918	1059024	82256
1786876919	1059136	82256
1786876920	1106320	82256
1786876921	1106608	82256
1786876922	1106672	82256
1786876923	1106784	82256
1786876924	1106816	82256
1786876925	1106800	82256
1786876926	1106912	82256
1786876927	1106992	82256
1786876928	1106960	82256
1786876929	1106976	82256
1786876931	1107040	82256
1786876932	1107056	82256
1786876933	1149504	82256
1786876934	1150944	82256
1786876935	1151120	82256
1786876936	1151120	82256
1786876937	1151168	82256
1786876938	1151200	82256
1786876939	1151232	82256
1786876940	1151232	82256
1786876941	1151280	82256
1786876942	1151280	82256
1786876944	1206272	82256
1786876945	1397552	82256
1786876946	1399040	82256
1786876947	1399104	82256
1786876948	1399120	82256
1786876949	1502464	82256
1786876950	1966576	82256
1786876951	1971536	82256
1786876952	1972224	82256
1786876953	1972240	82256
1786876954	1972272	82256
1786876955	1972368	82256
1786876956	1972368	82256
1786876957	1972400	82256
1786876959	1972400	82256
1786876960	1972416	82256
1786876961	1972432	82256
1786876962	1972432	82256
1786876963	1972432	82256
1786876964	1972432	82256
1786876965	1972464	82256
1786876966	1972416	82256
1786876967	1972416	82256
1786876968	1972416	82256
