1786873601	29140	32147176	0	4808865	3432138	1	12
1786873602	29140	32146668	0	4809700	3432967	1	12
1786873603	29140	32146668	0	4810535	3433796	1	12
1786873604	29140	32146668	0	4811371	3434626	1	12
1786873605	29140	32146668	0	4812206	3435455	1	12
1786873606	29140	32146668	0	4813041	3436282	1	12
1786873607	29140	32146676	0	4813876	3437111	1	12
1786873608	29140	32146676	0	4814711	3437940	1	12
1786873609	29140	32146676	0	4815545	3438768	1	12
1786873610	35664	32141880	26	4816388	3439561	33	13
1786873611	43792	32132344	82	4817228	3440325	90	13
1786873612	51656	32123488	138	4818059	3441092	146	13
1786873614	60484	32122340	193	4818891	3441864	199	14
1786873615	69104	32105032	248	4819729	3442633	254	14
1786873616	75248	32101008	304	4820568	3443405	306	14
1786873617	83440	32091692	360	4821403	3444174	360	14
1786873618	92032	32082844	416	4822239	3444947	410	14
1786873619	98380	32072468	472	4823076	3445717	460	14
1786873620	107512	32059740	528	4823911	3446491	513	14
1786873621	116136	32051548	584	4824748	3447261	566	14
1786873622	124500	32046376	639	4825588	3448036	616	14
1786873623	134740	32033168	695	4826429	3448811	666	14
1786873624	143356	32028884	750	4827263	3449582	720	14
1786873625	171000	32003196	800	4828089	3450279	833	14
1786873626	269228	31896988	800	4828917	3450318	1617	14
1786873627	268060	31878592	800	4829743	3450353	2409	14
1786873628	268816	31873320	800	4830557	3450392	3194	14
1786873629	286424	31848636	800	4831380	3450433	3974	14
1786873630	246892	31868652	800	4832206	3450465	4769	14
1786873631	245152	31879192	800	4833036	3450503	5559	14
1786873632	256040	31870136	800	4833858	3450537	6353	14
1786873634	278892	31853352	800	4834688	3450576	7145	14
1786873635	261300	31852852	800	4835510	3450614	7932	14
1786873636	256500	31851892	800	4836345	3450651	8720	14
1786873637	257680	31851388	800	4837166	3450694	9496	14
1786873638	263364	31854712	800	4837984	3450731	10281	14
1786873639	267180	31857468	800	4838816	3450773	11059	14
1786873640	262864	31855704	800	4839640	3450810	11846	14
1786873641	269472	31853696	800	4840459	3450856	12624	14
1786873642	284988	31844380	800	4841295	3450885	13424	14
1786873643	261960	31855416	800	4842121	3450924	14214	14
1786873644	256132	31854892	800	4842956	3450966	14993	14
1786873645	309160	31816208	800	4843784	3451002	15785	14
1786873646	288868	31814732	800	4844597	3451044	16567	14
1786873647	281536	31814004	800	4845413	3451083	17347	14
1786873648	257612	31838380	800	4846240	3451120	18134	14
1786873649	266040	31831356	800	4847061	3451167	18910	14
1786873650	254040	31842616	800	4847884	3451202	19694	14
1786873652	275320	31833004	800	4848703	3451243	20476	14
1786873653	271708	31830512	800	4849514	3451283	21256	14
1786873654	293260	31812124	800	4850336	3451320	22042	14
1786873655	270640	31811652	800	4851168	3451353	22835	14
1786873656	274100	31828596	800	4852011	3451390	23629	14
1786873657	268812	31827584	800	4852834	3451426	24415	14
1786873658	261768	31824840	800	4853661	3451461	25216	14
1786873659	284952	31822076	800	4854498	3451503	26000	14
1786873660	277628	31839484	800	4855322	3451545	26788	14
1786873661	270808	31838480	800	4856145	3451575	27572	14
1786873662	283172	31828400	800	4856968	3451611	28357	14
1786873663	261064	31828932	800	4857786	3451650	29155	14
1786873664	274396	31825904	800	4858608	3451684	29944	14
1786873665	285492	31819856	800	4859437	3451726	30730	14
1786873666	262824	31831304	800	4860251	3451766	31514	14
1786873667	267116	31829292	800	4861065	3451800	32305	14
1786873668	283456	31819972	800	4861880	3451839	33094	14
1786873670	277480	31818488	800	4862718	3451875	33883	14
1786873671	278140	31816760	800	4863549	3451917	34665	14
1786873672	263480	31816764	800	4864380	3451959	35462	14
1786873673	274580	31815504	800	4865210	3451998	36248	14
1786873674	280768	31825860	800	4866032	3452039	37037	14
1786873675	284048	31819248	800	4866860	3452077	37823	14
1786873676	281352	31818520	800	4867677	3452120	38605	14
1786873677	270608	31830072	800	4868508	3452155	39401	14
1786873678	266652	31829820	800	4869350	3452195	40204	14
1786873679	241580	31832680	0	4870185	3452978	40265	14
1786873680	241580	31832676	0	4871019	3453808	40265	14
1786873681	241580	31832428	0	4871854	3454638	40265	14
1786873682	241580	31832432	0	4872691	3455469	40265	14
1786873683	241580	31843816	0	4873524	3456298	40265	14
1786873684	241580	31843840	0	4874359	3457128	40265	14
1786873685	241584	31839492	0	4875193	3457957	40265	14
1786873686	241584	31838808	0	4876028	3458786	40265	14
1786873687	241584	31838344	0	4876863	3459612	40265	14
1786873688	241584	31836580	0	4877697	3460433	40265	14
