BenchmarkDiffOnly/text_one/nodes=670-8    	    7206	     66992 ns/op	       670.0 nodes	    1568 B/op	      96 allocs/op
BenchmarkDiffOnly/text_one/nodes=670-8    	    7180	     67370 ns/op	       670.0 nodes	    1568 B/op	      96 allocs/op
BenchmarkDiffOnly/text_one/nodes=670-8    	    7156	     67421 ns/op	       670.0 nodes	    1568 B/op	      96 allocs/op
BenchmarkDiffOnly/text_one/nodes=670-8    	    7206	     67068 ns/op	       670.0 nodes	    1568 B/op	      96 allocs/op
BenchmarkDiffOnly/text_one/nodes=670-8    	    7267	     66684 ns/op	       670.0 nodes	    1568 B/op	      96 allocs/op
BenchmarkDiffOnly/text_one/nodes=670-8    	    7116	     68027 ns/op	       670.0 nodes	    1568 B/op	      96 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2601	    179091 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2715	    178495 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2695	    178132 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2712	    177668 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2691	    178320 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2702	    177116 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2697	    180315 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/text_one/nodes=1762-8   	    2701	    177985 ns/op	      1762 nodes	    4064 B/op	     252 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  105060	      4612 ns/op	        26.00 nodes	    5922 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  106598	      4488 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  108871	      4370 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  108657	      4411 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  109251	      4377 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  112015	      4401 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  109838	      4358 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=26-8  	  109470	      4355 ns/op	        26.00 nodes	    5921 B/op	      60 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10000	     44551 ns/op	       166.0 nodes	   92935 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10000	     43457 ns/op	       166.0 nodes	   92935 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10000	     42775 ns/op	       166.0 nodes	   92936 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10000	     44185 ns/op	       166.0 nodes	   92934 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	    9903	     45735 ns/op	       166.0 nodes	   92935 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10294	     42781 ns/op	       166.0 nodes	   92935 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10000	     43150 ns/op	       166.0 nodes	   92935 B/op	     632 allocs/op
BenchmarkDiffOnly/list_append/nodes=166-8 	   10000	     43584 ns/op	       166.0 nodes	   92937 B/op	     632 allocs/op
