BenchmarkInteraction/noop/items=94/nodes=670-8       	    5236	     89908 ns/op	       670.0 nodes	         0 patches/op	   10386 B/op	     484 allocs/op
BenchmarkInteraction/noop/items=94/nodes=670-8       	    5256	     91818 ns/op	       670.0 nodes	         0 patches/op	   10386 B/op	     484 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1992	    434225 ns/op	      1762 nodes	         0 patches/op	   27814 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1947	    289463 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    2007	    539584 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	     942	    451598 ns/op	      1762 nodes	         0 patches/op	   27812 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1994	    258185 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    2014	    288155 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    2091	    229999 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    2108	    290024 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	     924	    434997 ns/op	      1762 nodes	         0 patches/op	   27812 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1119	    998970 ns/op	      1762 nodes	         0 patches/op	   27813 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	     572	    766740 ns/op	      1762 nodes	         0 patches/op	   27812 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1388	    435787 ns/op	      1762 nodes	         0 patches/op	   27814 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1084	    708195 ns/op	      1762 nodes	         0 patches/op	   27812 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	    1255	   1310507 ns/op	      1762 nodes	         0 patches/op	   27814 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=250/nodes=1762-8     	     795	   1632924 ns/op	      1762 nodes	         0 patches/op	   27814 B/op	    1264 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     180	   3239201 ns/op	      7012 nodes	         0 patches/op	  111824 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     268	   2722838 ns/op	      7012 nodes	         0 patches/op	  111822 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     512	    924340 ns/op	      7012 nodes	         0 patches/op	  111820 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     429	    959514 ns/op	      7012 nodes	         0 patches/op	  111819 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     454	   1036255 ns/op	      7012 nodes	         0 patches/op	  111820 B/op	    5014 allocs/op
