1786807198	27028	92048	7	-1	1611772	0
1786807199	27028	92048	7	-1	1611768	0
1786807200	27028	92048	7	-1	1611776	0
1786807201	27028	92048	7	-1	1611776	0
1786807202	34432	93712	7	-1	1611792	2
1786807203	34388	93712	7	-1	1611568	3
1786807204	37264	93712	7	-1	1607472	4
1786807205	37256	93712	7	-1	1607256	6
1786807206	37532	93896	7	-1	1606416	7
1786807207	39376	93896	7	-1	1606192	8
1786807209	40140	94872	7	-1	1606224	10
1786807210	40384	94872	7	-1	1606224	11
1786807211	40384	94872	7	-1	1602136	12
1786807212	42652	94872	7	-1	1602248	13
1786807213	42652	94872	7	-1	1602248	15
1786807214	42652	94872	7	-1	1602248	16
1786807215	42652	94872	7	-1	1602264	17
1786807216	44868	94872	7	-1	1602272	19
1786807217	46916	94872	7	-1	1602272	20
1786807218	47096	94872	7	-1	1601804	21
1786807219	47448	94872	7	-1	1601804	23
1786807220	49496	94872	7	-1	1597708	24
1786807221	49496	94872	7	-1	1597724	25
1786807222	75264	171788	12	-1	1569140	50
1786807223	63348	171788	12	-1	1559320	50
1786807224	59868	171788	12	-1	1556052	50
1786807225	57628	171788	12	-1	1555800	50
1786807227	61208	171788	12	-1	1553800	50
1786807228	60036	171788	12	-1	1549516	50
1786807229	58316	171788	12	-1	1547256	50
1786807230	57020	171788	12	-1	1547264	50
1786807231	56996	171788	12	-1	1547272	50
1786807232	57076	171788	12	-1	1545516	50
1786807233	56756	171788	12	-1	1545516	50
1786807234	59068	171788	12	-1	1545272	50
1786807235	57008	171788	12	-1	1545280	50
1786807236	55212	171788	12	-1	1543288	50
1786807237	57740	171788	12	-1	1542288	50
1786807238	59176	171788	12	-1	1540020	50
1786807240	58716	171788	12	-1	1539524	50
1786807241	63528	171788	12	-1	1539540	50
1786807242	62640	171788	12	-1	1539540	50
1786807243	59968	171788	12	-1	1539296	50
1786807244	58568	171788	12	-1	1539296	50
1786807245	58572	171788	12	-1	1539304	50
1786807246	61840	171788	12	-1	1539320	50
1786807247	58432	171788	12	-1	1539320	50
1786807248	59036	171788	12	-1	1539328	50
1786807249	56952	171788	12	-1	1539328	50
1786807250	61328	171788	12	-1	1539336	50
1786807251	58592	171788	12	-1	1539352	50
1786807253	60152	171788	12	-1	1539352	50
1786807254	56840	171788	12	-1	1539360	50
1786807255	58672	171788	12	-1	1539368	50
1786807256	57944	171788	12	-1	1538116	50
1786807257	58828	171788	12	-1	1537624	50
1786807258	59664	171788	12	-1	1536616	50
1786807259	57764	171788	12	-1	1536624	50
1786807260	58076	171788	12	-1	1536380	50
1786807261	58108	171788	12	-1	1536388	50
1786807262	59872	171788	12	-1	1535640	50
1786807263	58512	171788	12	-1	1534892	50
1786807265	58964	171788	12	-1	1534892	50
1786807266	59832	171788	12	-1	1534900	50
1786807267	59440	171788	12	-1	1534900	50
1786807268	57800	171788	12	-1	1534916	50
1786807269	60108	171788	12	-1	1534924	50
1786807270	61040	171788	12	-1	1534924	50
1786807271	60888	171788	12	-1	1534932	50
1786807272	62812	171788	12	-1	1534940	50
1786807273	59412	171788	12	-1	1534948	50
1786807274	58512	171788	12	-1	1534948	50
1786807275	58908	171788	12	-1	1534956	50
1786807277	60796	171788	12	-1	1534964	50
1786807278	59680	171788	12	-1	1534972	50
1786807279	59692	171788	12	-1	1534980	50
1786807280	57432	171788	12	-1	1534988	50
1786807281	60236	171788	12	-1	1534988	50
1786807282	58568	171788	12	-1	1535004	50
1786807283	58316	171788	12	-1	1533248	50
1786807284	60352	171788	12	-1	1532744	50
1786807285	59796	171788	12	-1	1532752	50
1786807286	61080	171788	12	-1	1532772	50
1786807287	61080	171788	12	-1	1532772	50
1786807288	61080	171788	12	-1	1532772	0
1786807289	61080	171788	12	-1	1532772	0
1786807290	61080	171788	12	-1	1532772	0
1786807292	61080	171788	12	-1	1532772	0
1786807293	61080	171788	12	-1	1532776	0
1786807294	61080	171788	12	-1	1532780	0
1786807295	61080	171788	12	-1	1532780	0
1786807296	61080	171788	12	-1	1532804	0
1786807297	61080	171788	12	-1	1532808	0
1786807298	61080	171788	12	-1	1532808	0
1786807299	61080	171788	12	-1	1532816	0
1786807300	61080	171788	12	-1	1532312	0
