1786807327	22972	0	0	-1	1641964	0
1786807328	22972	0	0	-1	1641708	0
1786807329	22972	0	0	-1	1641460	0
1786807330	22972	0	0	-1	1641464	0
1786807331	31380	0	0	-1	1637368	2
1786807332	33672	0	0	-1	1637144	3
1786807333	34000	0	0	-1	1637144	4
1786807335	34168	0	0	-1	1636900	5
1786807336	36652	0	0	-1	1632804	7
1786807337	36652	0	0	-1	1632804	8
1786807338	38828	0	0	-1	1632300	9
1786807339	39216	0	0	-1	1632048	11
1786807340	41264	0	0	-1	1623856	12
1786807341	41464	0	0	-1	1623864	13
1786807342	41464	0	0	-1	1623864	14
1786807343	41636	0	0	-1	1623640	16
1786807344	41796	0	0	-1	1623640	17
1786807345	41796	0	0	-1	1623640	18
1786807346	45892	0	0	-1	1623136	20
1786807347	46072	0	0	-1	1623140	21
1786807348	46072	0	0	-1	1623144	22
1786807349	48120	0	0	-1	1619048	24
1786807350	48120	0	0	-1	1619048	25
1786807351	62832	0	0	-1	1606508	50
1786807352	60808	0	0	-1	1602728	50
1786807353	54308	0	0	-1	1602736	50
1786807354	53296	0	0	-1	1602736	50
1786807355	52580	0	0	-1	1601980	50
1786807356	55196	0	0	-1	1599460	50
1786807357	54752	0	0	-1	1599484	50
1786807358	54944	0	0	-1	1599232	50
1786807359	53924	0	0	-1	1597720	50
1786807361	53620	0	0	-1	1596964	50
1786807362	53576	0	0	-1	1596964	50
1786807363	52496	0	0	-1	1596964	50
1786807364	57376	0	0	-1	1596464	50
1786807365	53840	0	0	-1	1596468	50
1786807366	56036	0	0	-1	1595208	50
1786807367	54732	0	0	-1	1595208	50
1786807368	53564	0	0	-1	1595208	50
1786807369	59268	0	0	-1	1595208	50
1786807370	53744	0	0	-1	1595216	50
1786807371	57124	0	0	-1	1590364	50
1786807372	57300	0	0	-1	1590364	50
1786807373	54056	0	0	-1	1590364	50
1786807374	55252	0	0	-1	1590364	50
1786807375	55000	0	0	-1	1589112	50
1786807376	56704	0	0	-1	1588104	50
1786807377	57272	0	0	-1	1588104	50
1786807378	54780	0	0	-1	1588104	50
1786807379	56368	0	0	-1	1588104	50
1786807380	57036	0	0	-1	1588112	50
1786807381	57916	0	0	-1	1588112	50
1786807382	59600	0	0	-1	1587104	50
1786807384	58816	0	0	-1	1586600	50
1786807385	60676	0	0	-1	1586600	50
1786807386	56680	0	0	-1	1586600	50
1786807387	56676	0	0	-1	1586608	50
1786807388	57376	0	0	-1	1586608	50
1786807389	57148	0	0	-1	1586608	50
1786807390	57608	0	0	-1	1586608	50
1786807391	63392	0	0	-1	1586612	50
1786807392	64120	0	0	-1	1586616	50
1786807393	63196	0	0	-1	1586616	50
1786807394	64488	0	0	-1	1586616	50
1786807395	64292	0	0	-1	1586616	50
1786807396	62124	0	0	-1	1586616	50
1786807397	62576	0	0	-1	1586624	50
1786807398	62084	0	0	-1	1586624	50
1786807399	60816	0	0	-1	1586624	50
1786807400	64636	0	0	-1	1586624	50
1786807401	64052	0	0	-1	1582528	50
1786807402	61780	0	0	-1	1582528	50
1786807403	61936	0	0	-1	1582536	50
1786807404	60472	0	0	-1	1582536	50
1786807405	60256	0	0	-1	1582536	50
1786807406	66840	0	0	-1	1580772	50
1786807408	63120	0	0	-1	1580520	50
1786807409	59712	0	0	-1	1580528	50
1786807410	61400	0	0	-1	1579520	50
1786807411	59436	0	0	-1	1579520	50
1786807412	59584	0	0	-1	1579272	50
1786807413	60920	0	0	-1	1577256	50
1786807414	61756	0	0	-1	1577256	50
1786807415	62552	0	0	-1	1577264	50
1786807416	64464	0	0	-1	1577264	50
1786807417	64464	0	0	-1	1577256	0
1786807418	64464	0	0	-1	1577256	0
1786807419	64464	0	0	-1	1577256	0
1786807420	64464	0	0	-1	1577260	0
1786807421	64464	0	0	-1	1577264	0
1786807422	64464	0	0	-1	1577264	0
1786807423	64464	0	0	-1	1577012	0
1786807424	64464	0	0	-1	1577012	0
1786807425	64464	0	0	-1	1577012	0
1786807426	64464	0	0	-1	1577012	0
1786807427	64464	0	0	-1	1576768	0
1786807428	64464	0	0	-1	1575508	0
1786807429	64464	0	0	-1	1574760	0
