run	elements	tput	ints	patch_rate	ms_win	ms_run	objs_int	kb_int	gen_cpu_pct
showcase-g1/r1	384	234.9	10619	1.000	4.264	4.553	44892	2848.5	0.31
showcase-g1/r2	384	246.4	11140	1.000	4.141	4.409	44717	2837.1	0.25
showcase-g1/r3	384	234.9	10622	1.000	4.398	4.560	44566	2827.8	0.30
showcase-g8/r1	384	945.1	42563	1.000	6.706	6.967	43262	2743.8	2.10
showcase-g8/r2	384	843.6	37999	1.000	6.353	7.015	43663	2769.5	2.04
showcase-g8/r3	384	949.2	42737	1.000	6.630	6.934	44417	2817.1	2.16
