run	elements	tput	ints	patch_rate	ms_win	ms_run	objs_int	kb_int	gen_cpu_pct
cpu-g8/p1-r1	30	4020.7	180976	1.000	1.175	1.281	7410	320.5	5.10
cpu-g8/p1-r2	30	4263.8	191918	1.000	1.197	1.271	7392	319.7	5.48
cpu-g8/p1-r3	30	4041.0	181890	1.000	1.183	1.279	7412	320.6	5.05
cpu-g8/p100-r1	1614	129.8	5867	1.000	51.342	55.458	406363	20935.8	0.46
cpu-g8/p100-r2	1614	131.5	5941	1.000	52.523	56.038	406216	20925.5	0.49
cpu-g8/p100-r3	1614	129.8	5872	1.000	49.706	55.378	406449	20938.3	0.47
cpu-g8/p12-r1	206	978.8	44074	1.000	6.397	6.782	50664	2505.7	2.21
cpu-g8/p12-r2	206	989.0	44536	1.000	6.251	6.877	50669	2505.9	2.21
cpu-g8/p12-r3	206	965.1	43467	1.000	6.418	6.761	50708	2508.0	2.25
cpu-g8/p23-r1	382	555.0	25007	1.000	11.763	12.765	94203	4716.1	1.45
cpu-g8/p23-r2	382	536.3	24164	1.000	11.777	12.673	94452	4729.0	1.43
cpu-g8/p23-r3	382	555.4	25024	1.000	12.090	12.805	94212	4716.4	1.48
cpu-g8/p3-r1	62	2752.9	123920	1.000	2.165	2.297	15241	703.0	4.05
cpu-g8/p3-r2	62	2622.4	118036	1.000	1.990	2.232	15279	704.8	4.08
cpu-g8/p3-r3	62	2739.1	123295	1.000	2.172	2.300	15225	702.3	4.11
cpu-g8/p5-r1	94	1956.0	88054	1.000	2.993	3.258	23122	1100.4	3.60
cpu-g8/p5-r2	94	1998.1	89948	1.000	3.125	3.263	23065	1097.7	3.62
cpu-g8/p5-r3	94	1515.3	68219	1.000	2.476	3.472	23562	1121.8	2.70
cpu-g8/p60-r1	974	211.9	9568	1.000	30.159	33.416	242906	12470.9	0.71
cpu-g8/p60-r2	974	215.3	9720	1.000	29.727	32.912	242517	12448.5	0.70
cpu-g8/p60-r3	974	213.5	9634	1.000	29.691	33.209	243155	12481.4	0.71
